date,description,amount,category,account
2026-05-22,Client payment,23546.28,Sales,Operating
2026-05-22,Daily operating costs,-4085.69,Operations,Operating
2026-05-25,Daily operating costs,-3299.12,Operations,Operating
2026-05-26,Daily operating costs,-4107.53,Operations,Operating
2026-05-27,Daily operating costs,-3350.67,Operations,Operating
2026-05-28,Daily operating costs,-2016.72,Operations,Operating
2026-05-29,Client payment,60422.31,Sales,Operating
2026-05-29,Daily operating costs,-2567.33,Operations,Operating
2026-06-01,Client payment,32379.96,Sales,Operating
2026-06-01,Daily operating costs,-2937.66,Operations,Operating
2026-06-01,Office rent,-45000.0,Rent,Operating
2026-06-02,Client payment,58260.87,Sales,Operating
2026-06-02,Daily operating costs,-3475.56,Operations,Operating
2026-06-03,Daily operating costs,-2496.28,Operations,Operating
2026-06-04,Daily operating costs,-2952.29,Operations,Operating
2026-06-05,Daily operating costs,-1453.33,Operations,Operating
2026-06-05,Payroll,-185000.0,Payroll,Operating
2026-06-08,Daily operating costs,-1324.84,Operations,Operating
2026-06-09,Daily operating costs,-2189.58,Operations,Operating
2026-06-10,Client payment,22859.94,Sales,Operating
2026-06-10,Daily operating costs,-2962.93,Operations,Operating
2026-06-11,Client payment,61480.65,Sales,Operating
2026-06-11,Daily operating costs,-2943.18,Operations,Operating
2026-06-12,Daily operating costs,-2972.75,Operations,Operating
2026-06-12,Software subscriptions,-18000.0,Software,Card
2026-06-15,Client payment,63052.28,Sales,Operating
2026-06-15,Daily operating costs,-2646.91,Operations,Operating
2026-06-16,Daily operating costs,-1448.19,Operations,Operating
2026-06-17,Daily operating costs,-2672.12,Operations,Operating
2026-06-18,GST reserve,-30000.0,Tax reserve,Operating
2026-06-18,Daily operating costs,-2915.18,Operations,Operating
2026-06-19,Daily operating costs,-2000.93,Operations,Operating
2026-06-22,Daily operating costs,-2762.02,Operations,Operating
2026-06-23,Daily operating costs,-1264.84,Operations,Operating
2026-06-24,Daily operating costs,-3888.48,Operations,Operating
2026-06-25,Client payment,44039.7,Sales,Operating
2026-06-25,Daily operating costs,-1525.73,Operations,Operating
2026-06-26,Daily operating costs,-2043.7,Operations,Operating
2026-06-29,Daily operating costs,-3380.98,Operations,Operating
2026-06-30,Daily operating costs,-1523.22,Operations,Operating
2026-07-01,Daily operating costs,-1890.64,Operations,Operating
2026-07-01,Office rent,-45000.0,Rent,Operating
2026-07-02,Client payment,44078.07,Sales,Operating
2026-07-02,Daily operating costs,-2312.77,Operations,Operating
2026-07-03,Daily operating costs,-3624.75,Operations,Operating
2026-07-05,Payroll,-185000.0,Payroll,Operating
2026-07-06,Daily operating costs,-4058.7,Operations,Operating
2026-07-07,Daily operating costs,-2745.17,Operations,Operating
2026-07-08,Daily operating costs,-4008.13,Operations,Operating
2026-07-09,Client payment,20110.8,Sales,Operating
2026-07-09,Daily operating costs,-2505.29,Operations,Operating
2026-07-10,Daily operating costs,-3875.03,Operations,Operating
2026-07-12,Software subscriptions,-18000.0,Software,Card
2026-07-13,Daily operating costs,-3872.38,Operations,Operating
2026-07-14,Daily operating costs,-2756.58,Operations,Operating
2026-07-15,Daily operating costs,-3516.04,Operations,Operating
2026-07-16,Daily operating costs,-2320.97,Operations,Operating
2026-07-17,Client payment,53099.11,Sales,Operating
2026-07-17,Daily operating costs,-1987.38,Operations,Operating
2026-07-18,GST reserve,-30000.0,Tax reserve,Operating
2026-07-20,Daily operating costs,-1922.91,Operations,Operating
